name,gender,bdate,bweekday,height,blood_type,bnt_1,bnt_2,bnt_3,bnt_4,g_iq,s_iq
I.G.,male,1968-12-14,Sat,169,O+,1,0,0,1,113,99
O.B.,male,1974-04-10,Wed,181,O+,1,1,1,NA,114,100
M.M.,male,1987-09-28,Mon,183,A−,0,1,0,0,108,87
V.J.,female,1978-02-15,Wed,161,A+,0,0,0,0,93,102
O.E.,male,1985-05-18,Sat,164,A−,1,0,0,0,114,83
Q.W.,male,1968-03-01,Fri,172,A+,1,1,1,0,103,NA
H.K.,male,1994-04-27,Wed,157,B−,0,1,NA,0,110,85
T.R.,female,1961-06-05,Mon,167,A+,1,0,1,0,103,103
F.J.,male,1983-10-01,Sat,158,O+,0,0,0,0,107,101
J.R.,female,1941-12-29,Mon,157,O+,1,1,0,1,107,110
N.S.,male,1953-09-25,Fri,170,A−,0,0,1,1,100,88
N.T.,female,1975-05-19,Mon,141,A−,0,1,0,0,118,88
K.E.,male,1951-12-10,Mon,161,A+,0,0,1,1,104,95
U.W.,female,1996-01-12,Fri,161,O+,0,1,0,0,104,119
O.H.,male,1949-09-28,Wed,159,O+,1,0,0,0,103,NA
M.Y.,male,1938-10-19,Wed,150,A+,0,1,1,1,100,108
J.Y.,female,1987-05-20,Wed,155,O−,0,1,1,NA,106,99
S.X.,female,1986-03-05,Wed,169,O+,1,0,0,1,95,107
E.Q.,female,1932-11-12,Sat,160,A+,1,NA,0,0,101,111
Z.D.,female,1945-05-14,Mon,158,A+,1,1,1,0,111,116
I.W.,female,1972-06-13,Tue,165,O+,0,0,1,0,76,113
U.V.,male,1990-01-13,Sat,185,B+,0,0,1,0,100,99
P.M.,female,1991-07-21,Sun,155,O+,1,1,1,0,120,95
U.W.,female,1987-10-13,Tue,169,A+,0,0,1,0,83,113
F.H.,male,1977-10-09,Sun,177,O+,0,0,0,0,107,100
I.F.,female,1952-04-25,Fri,148,O+,0,0,1,0,109,95
G.H.,female,1948-01-17,Sat,165,A+,1,1,1,1,103,114
P.G.,female,1934-10-04,Thu,141,O+,1,0,0,0,89,109
D.F.,female,1949-11-12,Sat,175,A+,1,1,0,0,108,129
P.F.,female,1928-07-07,Sat,158,B+,0,1,1,1,139,93
M.Q.,male,1956-12-03,Mon,187,AB−,1,1,1,0,109,95
Y.R.,male,1987-09-26,Sat,186,O+,1,1,1,0,115,83
L.J.,female,1972-12-21,Thu,163,O+,1,1,0,1,100,117
L.L.,male,1992-07-29,Wed,177,O+,1,0,0,0,98,NA
G.S.,female,1934-10-18,Thu,157,O−,1,1,0,1,97,93
K.I.,female,1964-04-01,Wed,171,O+,0,0,0,0,103,105
O.Z.,female,1967-03-28,Tue,144,O+,1,1,0,1,84,113
R.Q.,male,1998-04-23,Thu,171,A+,0,1,1,0,91,107
W.U.,female,1981-10-05,Mon,166,B+,1,0,0,0,97,102
V.C.,female,1938-12-26,Mon,155,AB+,0,0,0,0,97,105
L.P.,female,1980-09-27,Sat,168,O−,1,NA,0,0,111,92
X.Z.,female,1951-08-22,Wed,153,B+,1,1,1,1,112,115
A.P.,female,1985-03-08,Fri,163,A+,0,0,1,NA,99,105
T.G.,female,1994-10-19,Wed,180,O+,1,0,1,1,115,114
H.T.,male,1986-05-24,Sat,157,O+,1,0,0,0,120,89
X.F.,female,1961-04-05,Wed,162,O+,1,1,1,0,110,110
J.L.,female,1946-07-03,Wed,158,A−,1,1,1,0,107,93
X.K.,male,1994-11-19,Sat,163,O+,0,1,1,0,110,89
N.D.,female,1998-09-10,Thu,164,A+,0,1,1,0,95,102
A.U.,female,1961-11-20,Mon,153,O+,1,1,1,0,103,106
I.K.,male,1941-02-26,Wed,161,A+,1,0,0,0,96,107
B.J.,male,1990-10-30,Tue,167,O+,1,1,1,1,94,103
O.R.,female,1989-06-17,Sat,172,O+,0,1,1,0,NA,89
Z.S.,male,1974-05-28,Tue,156,O+,0,1,0,0,111,92
A.N.,female,1963-10-22,Tue,165,O+,1,1,1,0,88,109
V.U.,female,1952-01-22,Tue,154,A+,0,1,0,1,99,113
C.G.,male,1943-03-08,Mon,156,O+,0,0,1,0,104,98
Z.A.,female,1981-07-16,Thu,144,A+,1,0,0,0,87,126
X.S.,female,1937-02-18,Thu,165,O+,0,0,0,0,95,105
F.V.,female,1976-02-13,Fri,167,O+,0,1,0,1,98,104
K.K.,male,1995-06-08,Thu,179,O+,0,1,1,1,99,83
M.P.,male,1988-02-16,Tue,160,O+,0,1,0,0,95,96
J.A.,female,1985-03-22,Fri,179,O+,0,1,0,1,NA,114
Z.Y.,male,1995-06-14,Wed,164,O−,0,0,1,0,102,83
O.C.,male,1965-08-05,Thu,174,O+,0,1,1,0,87,81
G.W.,male,1956-02-22,Wed,176,O+,0,0,0,0,95,112
T.M.,female,1994-01-14,Fri,166,A+,1,1,0,0,NA,113
P.A.,female,1998-03-09,Mon,170,O+,1,1,0,0,94,101
M.B.,female,1990-12-07,Fri,152,A+,0,1,0,1,109,116
M.Q.,female,1969-08-17,Sun,155,B+,0,1,1,1,116,98
R.C.,female,1953-06-15,Mon,178,O−,1,0,0,0,98,96
D.X.,male,1951-06-07,Thu,173,A+,0,0,1,0,92,98
D.S.,male,1990-11-05,Mon,168,B+,0,0,1,0,94,103
Y.B.,female,1956-01-10,Tue,158,O+,0,1,0,1,103,102
A.F.,female,1959-06-01,Mon,162,O+,0,1,1,1,107,113
N.Y.,female,1941-06-05,Thu,152,O+,1,0,1,0,117,92
D.E.,female,1972-10-17,Tue,177,O+,1,1,0,0,91,109
P.V.,female,1979-03-13,Tue,169,O+,1,1,0,1,102,116
V.U.,male,1942-07-05,Sun,179,O+,0,0,1,0,123,85
A.S.,female,1946-12-10,Tue,157,O+,0,0,1,0,94,109
